NED_id,class,ra,dec,zdist,D,F1400,F843,Fsyn,Lsyn,Pcav,L151,Ljet,Lcr,Fcr,Rmax
SARS 053.70356-39.95825,u,54.15585,-39.79397,0.0694451169889,304.336238903,296.2,462.6,394.336122864,40.681878220819264,44.24074274813642,40.33691192567324,43.19123535611462,42.64716731176434,4.004506648194989e-13,18.650039636992194
2MASX J03381409+1005038,j,54.55871,10.08436,0.0393215230251,168.64656832,422.9,0.0,488.741137708,40.26233823274811,43.94706475648661,39.917371937602084,42.81784476673129,42.273776722381015,5.519639971878096e-13,18.46334434230053
NGC 1399,j,54.62118,-35.45074,0.00509660458192,19.0445600654,636.0,957.4,816.120631279,38.59060056681753,42.77684839033521,38.245634271671506,41.32999824405307,40.7859301997028,1.4075938337612794e-12,17.71942108096142
IC 342,g,56.70214,68.09611,0.00122122804169,3.77552188317,2400.0,0.0,442.744691076,37.71631075605593,42.16484552280209,37.37134446090991,40.551880312475255,40.00781226812498,5.96962884284288e-12,17.330362115172512
4C +40.12,j,56.99986,40.733,0.0404813663717,173.76828599,973.6,0.0,1125.17940807,40.650467130662584,44.21875498502675,40.30550083551656,43.16327948587517,42.6192114415249,1.1517532657265318e-12,18.63606170187247
UGC 2855,g,57.08638,70.13288,0.00425051897764,17.1447252937,458.1,0.0,529.421412117,38.31136688429824,42.581384812571706,37.966400589152215,41.0814802666109,40.53741222226063,9.80031886024305e-13,17.595162092240336
NGC 1477,j,58.51192,-8.57499,0.0336095024558,143.544634204,267.9,0.0,309.609247557,39.92409217015911,43.710292512674314,39.57912587501309,42.51680577102708,41.972737726676804,3.8093672731495614e-13,18.31282484444843
NGC 1482,p,58.6622,-20.50245,0.00565306004137,23.4653123219,237.8,0.0,274.82299018,38.29921005904677,42.57287503489568,37.95424376390075,41.070660692137096,40.52659264778682,5.103040502106839e-13,17.589752305003437
2MASX J03565430+0013313,j,59.22623,0.22537,0.0429545227755,184.717165068,551.5,0.0,637.362822052,40.45670555681817,44.08312188333566,40.11173926167215,42.990831685153644,42.44676364080337,6.852328534495879e-13,18.549837801511707
2MASX J03571349+3757160,j,59.3062,37.95454,0.0571562519763,248.315857654,255.8,0.0,295.625403229,40.380054980549744,44.02946647994776,40.03508868540372,42.922612672274745,42.37854462792447,3.240595046221135e-13,18.515728295072257
3C 098,j,59.72679,10.43418,0.031247589333,133.224296675,11120.3,0.0,12851.6152132,41.477428906728356,44.797628228272785,41.13246261158233,43.89927546657371,43.35520742222344,1.0669144457895157e-11,19.00405969222174
2MASX J04021299+1929075,j,60.5542,19.48545,0.056919105691,247.243763845,779.8,0.0,901.2067609,40.86037945423234,44.36569361152557,40.515413159086314,43.350101453852254,42.80603340950198,8.747254498783604e-13,18.729472685861012
ESO 483- G 009,p,61.92714,-22.71531,0.0327347320159,139.718286634,351.8,0.0,406.571606162,40.018947868332944,43.776691501396,39.67398157318692,42.60122734240179,42.057159298051516,4.88361974650322e-13,18.35503563013578
2MASX J04082595-3100113,j,62.10813,-31.00312,0.0580813458376,252.501293019,888.0,0.0,1026.25237712,40.9350857093296,44.41798799009366,40.590119414183576,43.41659002088881,42.872521976538536,9.774258243586386e-13,18.762716969379294
NGC 1559,g,64.39906,-62.78367,0.00474845711142,19.0404135004,0.0,448.4,382.231555322,38.26098360944891,42.54611652017717,37.916017314302884,41.036639151995,40.49257110764472,7.166504893268798e-13,17.572741534932387
NGC 1566,g,65.00175,-54.93781,0.00536520918831,20.4266072336,0.0,299.5,255.304083004,38.146754557392434,42.46615618373764,37.80178826224641,40.93497529566474,40.39090725131447,4.927241174420815e-13,17.521909606767256
2MASX J04213310+1433544,j,65.38791,14.5651,0.0611803898206,266.560159456,273.2,0.0,315.734402511,40.470216704776114,44.09257968690622,40.12525040963009,43.00285660683621,42.458788562485935,3.3828841792183843e-13,18.555850262352994
AM 0422-275 NED02,j,66.07744,-27.72886,0.0507462764166,219.45785214,405.7,0.0,468.863276349,40.47305278721312,44.094564944612124,40.1280864920671,43.00538072020515,42.46131267585488,5.019950937670724e-13,18.55711231903746
IC 2082 NED02,j,67.28423,-53.8279,0.0401750800758,172.41495746,0.0,8118.9,6920.82911353,41.43261232501909,44.7662566210763,41.08764602987307,43.859388708852464,43.31532066450219,5.811119834444795e-12,18.984116313361117
2MASX J04302197-6132001,u,67.59167,-61.53347,0.0564865216507,245.28901155,0.0,2467.9,2103.72269264,41.22164899833786,44.61858229239944,40.87668270319184,43.67163134810617,43.12756330375589,1.863357402507594e-12,18.890237632987972
NGC 1569,g,67.70494,64.84792,0.000925593019929,2.51584648216,362.2,0.0,418.590778146,36.54246225025952,41.3431515687446,36.197495955113496,39.50715514231644,38.96308709796617,1.2128521710439858e-12,16.807999530093106
3C 120,j,68.29621,5.35433,0.0337272212792,144.059913748,4082.4,0.0,4717.98727969,41.110147386886666,44.5405311643836,40.765181091740644,43.57239491391461,43.02832686956433,4.298625535726147e-12,18.84061941589219
GIN 190,j,68.54346,-13.37,0.035300793424,150.956040866,801.7,0.0,926.516363444,40.44385840839508,44.07412887943949,40.09889211324906,42.97939772305709,42.43532967870682,9.993502608640723e-13,18.544120820463434
ESO 484- G 037,j,69.14732,-22.44406,0.0714531116496,313.576146798,1137.3,0.0,1314.36579786,41.23070660832817,44.624922619392656,40.88574031318215,43.67969262099754,43.13562457664727,1.1615223842770849e-12,18.894268269433656
IC 0383,j,69.74182,9.8926,0.0275495220481,117.135619211,474.4,0.0,548.259152823,39.99566816646351,43.760395710087394,39.65070187131749,42.580508407737995,42.03644036338772,6.624474818250024e-13,18.344676162803882
ESO 251- G 021,j,70.11051,-44.63307,0.0333869713013,142.570805155,0.0,293.1,249.848503267,39.82504227702594,43.6409575874811,39.48007598187992,42.42865136613856,41.884583321788284,3.152181115131787e-13,18.26874764200417
